ModelName,PlistName,Ipname
CHNPRR1,array_epbist_ms_rom_SRHATOMF4_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_ms_rom_SRHATOMF5_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_pbrom_rom_SRHATOMF1_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_pbrom_rom_SRHATOMF2_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_pbrom_rom_SRHATOMF3_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_pbrom_rom_SRHATOMF4_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_pbrom_rom_SRHATOMF5_sino_lsa_atomclk_list,
CHNPRR1,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_bpi_reduce_list,
CHNPRR1,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_ebxq_reduce_list,
CHNPRR1,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_fpc_reduce_list,
CHNPRR1,array_epbist_sino_atomclk_SRHATOMF1_atomcore_lsa_iec_reduce_list,
CHNPRR1,array_epbist_sino_atomclk_SRHATOMF1_atomcore_ssa_l2_c6s_reduce_list,
